Geneid,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_31.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_32.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_33.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_38.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_40.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_41.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_42.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_43.bam,/scratch1/shakilma/gene_expression_pro/hisat2/carcinoma_44.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_49.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_50.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_51.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_52.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_53.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_54.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_55.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_56.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_57.bam,/scratch1/shakilma/gene_expression_pro/hisat2/normal_58.bam
ENSG00000228037,11,2,3,6,8,0,11,14,11,0,0,2,6,0,6,11,8,6,3
ENSG00000142611,30,16,22,67,73,48,43,22,84,26,5,10,13,5,90,77,64,72,106
ENSG00000284616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157911,1204,1061,4027,1133,767,1756,521,3350,421,67,247,201,36,51,738,362,905,650,702
ENSG00000260972,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
ENSG00000224340,0,0,2,0,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0
ENSG00000226374,0,0,0,2,4,0,2,0,3,6,1,0,0,7,0,4,3,4,0
ENSG00000229280,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
ENSG00000142655,488,153,509,528,1170,707,619,589,1198,206,117,94,76,85,1132,811,928,931,1806
ENSG00000232596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000235054,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231510,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149527,1046,228,734,2711,2733,1284,993,1903,823,206,237,107,171,164,2039,2711,3438,1380,2492
ENSG00000284739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171621,258,85,394,329,351,385,745,450,975,213,86,49,74,32,266,682,266,331,230
ENSG00000272235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ENSG00000284694,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224387,8,4,7,54,39,19,29,38,4,0,4,2,2,2,30,32,42,14,19
ENSG00000142583,246,59,68,613,1517,645,147,60,599,349,83,31,33,282,158,252,1951,1221,402
ENSG00000284674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287727,14,8,16,26,28,19,11,21,14,0,2,4,0,4,13,13,11,9,19
ENSG00000286448,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284703,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0
ENSG00000226457,22,12,47,28,33,47,34,40,31,15,7,14,6,8,9,16,6,9,4
ENSG00000173614,235,123,226,247,291,246,274,247,213,52,58,51,37,47,127,183,163,113,269
ENSG00000215720,0,0,1,0,2,0,5,0,2,2,0,0,0,0,0,3,1,0,0
ENSG00000241326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233623,0,0,4,4,7,3,2,3,1,0,0,2,0,0,2,5,2,0,3
ENSG00000204624,87,8,144,130,146,100,141,90,19,5,14,20,0,1,48,39,44,32,162
ENSG00000142606,61,26,16,118,84,75,121,129,17,16,15,17,2,0,60,43,56,33,132
ENSG00000225931,9,5,15,13,15,12,5,20,6,4,3,0,0,0,5,12,10,9,13
ENSG00000171729,193,58,233,223,285,284,354,210,676,138,73,62,80,15,413,526,138,272,415
ENSG00000229393,7,3,25,54,49,19,21,55,11,1,3,0,1,5,46,53,75,28,60
ENSG00000037637,1242,599,1308,1256,1316,1242,1442,1314,971,274,244,293,141,230,859,708,1048,791,1092
ENSG00000287586,4,0,0,0,0,0,2,8,6,0,0,0,2,2,0,2,3,4,1
ENSG00000159423,2252,511,1861,2169,3019,2176,1041,1497,1053,230,166,293,136,295,1658,1435,5517,1826,2840
ENSG00000227169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157916,2350,1049,2808,2769,2987,2703,2681,2610,2038,483,542,582,266,376,1951,2158,2725,1805,2473
ENSG00000157881,566,175,533,581,599,555,614,487,501,94,102,83,37,51,471,551,509,472,683
ENSG00000238290,11,8,9,14,21,11,9,24,10,5,1,2,1,4,17,21,21,8,28
ENSG00000225387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000048707,2046,895,2151,2791,3007,2704,2361,2287,3614,825,776,562,511,578,2012,2343,1866,2066,2176
ENSG00000225196,1,0,2,1,2,0,1,2,0,2,1,0,0,0,1,5,1,4,2
ENSG00000162444,52,22,43,111,130,66,55,62,27,14,9,16,20,41,35,72,180,71,45
ENSG00000279625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180758,383,124,276,389,429,476,401,344,449,77,56,89,76,49,286,454,373,317,335
ENSG00000184677,1780,863,1623,2079,2329,2332,2506,1989,2551,444,643,472,241,345,1785,1482,1585,1758,2160
ENSG00000288398,201,75,209,241,343,283,173,184,217,39,30,49,9,18,183,133,134,179,204
ENSG00000224621,2,0,5,3,9,1,2,0,5,1,0,0,1,0,3,3,0,0,6
ENSG00000285833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131697,558,151,598,680,499,575,648,689,461,67,87,82,61,29,402,500,387,372,651
ENSG00000284692,0,0,0,10,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0
ENSG00000284745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280222,3,0,4,2,24,0,4,0,6,2,0,0,0,0,11,2,0,0,10
ENSG00000285945,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSG00000197921,1,0,2,0,0,0,9,2,8,6,0,2,0,0,4,0,4,7,8
ENSG00000233755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233929,18,3,3,5,18,16,10,4,13,5,6,5,3,0,8,56,49,15,21
ENSG00000234166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000055070,1584,642,1844,2001,2221,2153,2095,1638,2590,440,400,347,267,254,1776,2314,1723,1513,1923
ENSG00000230035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225643,6,1,6,4,10,6,3,7,11,3,0,1,0,0,4,6,5,4,19
ENSG00000284666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234397,1,0,1,2,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000204138,1468,709,1336,1594,1629,1642,1570,1432,1205,330,351,325,170,287,911,803,1265,853,968
ENSG00000233419,1,0,0,2,0,2,1,0,5,0,1,0,1,0,0,3,4,1,2
ENSG00000235263,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228176,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ENSG00000225011,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0
ENSG00000284676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000090020,1228,376,794,1435,2044,1254,1415,902,1730,391,227,218,184,108,1690,1628,1410,988,2130
ENSG00000157978,1579,593,1383,1721,1812,1580,1592,1221,863,213,240,274,119,175,1240,1171,1585,1008,1714
ENSG00000158006,547,281,588,604,670,509,696,442,398,124,98,190,48,110,331,361,451,332,354
ENSG00000214812,4,1,13,9,9,6,7,6,11,2,3,0,2,3,7,4,6,1,14
ENSG00000196581,120,21,62,125,183,97,107,79,387,53,44,14,30,24,117,41,55,152,119
ENSG00000169403,160,38,143,167,118,175,240,170,297,61,46,28,104,19,133,762,72,138,94
ENSG00000171612,284,118,437,355,216,443,288,327,130,52,56,78,23,41,92,142,232,138,85
ENSG00000270927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188910,72,12,19,23,78,70,24,53,124,26,8,6,24,8,57,348,30,84,55
ENSG00000230523,2,2,0,0,0,0,1,4,0,0,0,0,2,0,0,3,0,0,2
ENSG00000158161,795,726,688,974,931,994,1247,720,719,245,188,327,113,165,571,593,469,369,528
ENSG00000142627,180,61,303,186,537,576,225,419,760,160,111,36,199,75,599,1583,268,499,817
ENSG00000284668,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ENSG00000233234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142632,216,87,219,189,474,484,207,379,194,58,29,81,46,28,436,365,221,345,565
ENSG00000234593,4,2,9,9,2,15,5,10,7,0,0,0,0,0,3,2,2,6,0
ENSG00000189337,270,137,424,302,397,353,494,409,531,95,123,55,59,52,380,389,197,282,450
ENSG00000028137,515,120,426,530,449,684,828,496,1331,142,112,87,232,54,297,2712,350,587,385
ENSG00000204464,0,0,1,0,0,4,2,0,3,0,0,0,0,0,0,0,1,0,0
ENSG00000283259,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
ENSG00000130939,1595,663,1929,2081,1880,1999,1630,1642,1847,423,423,423,281,372,1417,1202,1365,1082,1442
ENSG00000175147,80,18,77,60,136,61,64,77,183,24,23,20,14,13,142,181,52,71,124
ENSG00000127472,165,37,240,104,253,121,118,347,314,39,28,16,19,15,233,107,85,152,383
ENSG00000060656,1306,263,892,877,2030,1141,1567,2041,2071,449,150,192,225,184,2192,2264,1883,1467,2786
ENSG00000163867,199,122,283,218,230,231,222,277,265,86,93,64,77,66,131,127,101,117,123
ENSG00000230214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189280,32,9,27,6,67,38,24,20,26,17,10,0,17,9,41,194,48,30,47
ENSG00000134698,746,398,949,904,1031,1032,975,1256,1297,389,253,210,241,196,732,703,447,537,849
ENSG00000272420,18,0,14,5,19,15,3,8,7,2,0,3,0,4,7,9,13,2,5
ENSG00000132881,137,42,106,122,185,165,117,134,159,28,17,17,4,8,153,58,81,111,165
ENSG00000273274,3,4,6,2,13,18,4,7,9,0,2,0,0,4,13,10,2,11,6
ENSG00000236648,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232273,9,2,10,9,11,9,3,12,5,2,1,1,1,4,12,9,9,5,10
ENSG00000287396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000130940,2083,895,1713,2727,3014,2624,2005,2376,1352,424,287,437,143,214,2559,1360,2983,1507,2920
ENSG00000163879,929,163,627,671,1027,1051,216,251,455,135,247,84,97,158,455,594,804,463,697
ENSG00000227527,22,17,11,22,21,25,19,13,7,4,2,6,0,2,20,6,15,4,16
ENSG00000116954,228,133,408,162,208,242,276,267,347,80,88,59,52,57,205,228,156,136,257
ENSG00000228589,252,178,374,332,286,277,282,243,207,82,84,77,48,52,136,233,204,184,161
ENSG00000163873,109,26,33,155,155,109,24,35,265,45,29,8,26,33,210,89,109,169,514
ENSG00000117215,39,17,24,21,9,50,32,15,114,11,11,13,17,0,32,11,1,34,5
ENSG00000230163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227538,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000044012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179051,1836,669,1992,2545,1860,2749,1749,2315,1760,397,404,426,269,173,1312,2078,1000,1095,1350
ENSG00000215895,55,52,33,28,39,35,29,10,25,19,23,47,12,8,19,37,19,29,18
ENSG00000284650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000236948,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000126067,1202,526,1643,1512,1479,1471,1461,1115,1409,300,282,327,186,204,885,1236,1252,863,1140
ENSG00000274944,0,2,1,0,1,0,0,0,0,1,1,2,0,0,2,0,0,0,0
ENSG00000272078,243,67,159,293,282,295,213,300,102,28,23,40,17,20,210,152,216,135,215
ENSG00000230451,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0
ENSG00000231606,0,1,4,1,2,2,0,7,0,0,0,0,0,0,5,0,2,2,2
ENSG00000284632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000054118,3855,2128,4092,5245,4596,5125,4995,4479,3778,968,1116,1302,610,864,2916,2814,3608,2592,3008
ENSG00000254553,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237749,14,8,23,26,26,28,40,12,18,20,6,11,15,5,22,16,7,32,33
ENSG00000276747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000284705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228776,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000159339,3,0,0,0,4,2,0,4,2,0,0,0,6,2,2,15,0,9,6
ENSG00000261781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000284743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158315,48,7,39,18,80,55,33,52,59,32,25,9,10,10,47,81,26,32,39
ENSG00000186973,21,13,24,31,108,64,64,34,15,5,4,9,2,21,32,94,64,41,84
ENSG00000146463,1676,819,1668,1470,1521,1478,1489,1671,1604,485,448,422,279,357,888,872,704,710,967
ENSG00000271741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142686,429,152,373,421,341,519,493,352,710,139,66,102,63,53,402,358,365,424,500
ENSG00000224751,1,0,4,1,0,0,1,1,0,0,0,0,0,0,2,0,2,0,4
ENSG00000117148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000230585,7,0,11,6,3,8,2,9,0,0,2,0,0,1,5,0,0,5,4
ENSG00000117000,525,238,474,385,425,465,578,468,734,194,166,116,74,142,269,250,201,230,270
ENSG00000284989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000092853,12,4,28,9,14,40,26,12,29,9,13,9,7,2,3,39,6,13,2
ENSG00000255811,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ENSG00000134697,892,394,1057,772,613,1061,836,870,737,175,270,255,102,130,443,697,354,438,471
ENSG00000187513,97,17,207,182,108,85,158,190,189,35,41,15,43,0,84,239,82,126,162
ENSG00000284720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225671,1,1,3,1,3,1,1,1,3,2,2,3,0,1,4,2,0,2,0
ENSG00000116151,299,126,336,382,441,382,278,361,192,65,46,64,35,21,380,303,368,251,444
ENSG00000006555,228,156,198,450,733,466,185,247,295,94,66,103,32,45,344,560,587,357,423
ENSG00000236111,11,4,8,5,4,8,5,9,5,1,2,5,0,7,1,3,8,10,4
ENSG00000214114,294,182,386,290,298,309,302,295,323,103,66,122,93,84,173,200,211,180,192
ENSG00000116544,3,1,4,11,11,4,12,5,11,0,0,0,0,0,7,19,7,13,6
ENSG00000236723,8,3,1,1,4,6,3,3,6,0,3,0,0,0,2,2,3,5,2
ENSG00000232467,2,0,1,0,0,2,0,2,0,1,2,1,0,1,2,2,0,0,0
ENSG00000117016,138,56,158,182,379,190,232,181,666,81,61,52,35,59,409,191,256,312,358
ENSG00000163866,197,178,361,388,419,455,395,411,545,91,110,88,88,49,359,522,311,296,349
ENSG00000237130,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260971,1,2,1,0,6,2,5,0,3,0,0,2,2,0,3,9,3,0,1
ENSG00000284696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000238242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232762,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000162384,752,329,884,678,1038,865,1057,767,1158,230,167,212,117,146,698,622,485,551,774
ENSG00000162391,1,5,3,1,25,10,7,11,20,2,6,0,5,3,26,14,9,25,20
ENSG00000117859,2269,1351,2445,2671,1904,2198,2692,2575,2337,712,649,689,368,497,1410,1232,1204,1057,1487
ENSG00000162396,125,59,118,130,164,185,133,126,149,16,25,15,9,16,119,67,134,65,130
ENSG00000284686,0,1,0,2,0,4,4,0,7,1,0,0,2,0,2,0,2,0,2
ENSG00000162378,483,316,398,373,445,535,455,416,907,241,210,109,111,128,295,252,320,253,303
ENSG00000233079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000259818,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,2,2,0,2
ENSG00000229444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240563,0,0,6,2,4,2,6,0,1,0,0,1,1,0,3,3,3,2,9
ENSG00000234318,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000284773,19,8,28,22,44,40,43,27,36,12,9,8,11,1,20,26,18,22,29
ENSG00000234481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235612,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224609,24,3,13,15,45,14,18,8,43,7,13,4,0,3,31,5,26,11,29
ENSG00000235545,2,7,0,9,4,2,6,5,2,0,0,0,0,0,0,0,2,6,2
ENSG00000236646,3,0,5,1,1,2,6,5,1,0,2,1,1,1,0,0,2,0,9
ENSG00000238063,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
ENSG00000227104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
ENSG00000243725,36,12,39,36,47,49,68,44,63,18,4,6,4,8,29,33,38,26,57
ENSG00000171872,0,2,2,2,5,1,4,0,15,8,4,0,0,0,1,9,3,1,8
ENSG00000162407,1706,537,1755,1776,2573,1717,2267,1610,7081,1684,659,287,564,571,2333,1759,1192,2465,3463
ENSG00000285079,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ENSG00000163877,393,185,398,355,469,512,425,445,494,136,143,105,67,100,316,370,319,297,329
ENSG00000228929,429,87,624,375,329,543,389,593,278,64,70,89,75,68,172,268,126,201,189
ENSG00000224570,1,2,2,1,8,0,3,1,1,0,0,0,0,1,1,0,0,0,2
ENSG00000224980,2,0,0,2,2,1,0,1,3,0,0,0,0,0,1,0,0,0,2
ENSG00000278967,0,1,0,0,2,0,4,3,0,0,0,0,0,1,0,0,0,0,0
ENSG00000157184,490,215,447,606,491,579,452,393,262,80,84,101,38,59,292,236,393,292,316
ENSG00000198815,1530,859,1961,1750,1481,1770,1751,1774,1691,517,476,433,242,404,1223,958,1155,1047,1145
ENSG00000134744,921,481,825,843,1014,1057,941,1068,1214,299,270,208,176,198,721,885,649,652,776
ENSG00000233910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000283039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000234088,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236973,0,0,1,2,4,0,2,1,6,2,0,0,0,0,2,0,4,2,4
ENSG00000277397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162385,291,133,310,273,319,333,338,252,340,90,83,112,54,46,174,226,146,169,222
ENSG00000223883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000237227,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
ENSG00000275350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116652,9,3,7,4,9,7,4,4,4,5,3,0,0,0,0,4,7,0,5
ENSG00000123080,144,43,109,106,184,116,183,91,295,49,37,29,43,21,143,102,81,153,268
ENSG00000285778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225675,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0
ENSG00000162598,4,2,4,5,2,6,10,1,0,0,0,0,0,1,0,0,10,0,0
ENSG00000280317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162415,498,167,456,535,645,648,405,571,427,101,110,63,53,81,360,320,468,375,385
ENSG00000162600,366,293,330,292,278,330,305,297,294,99,86,143,31,93,161,126,154,176,167
ENSG00000116704,556,231,565,750,551,611,593,547,645,189,192,142,111,140,288,482,437,355,362
ENSG00000157193,137,42,166,136,73,144,117,176,139,22,20,25,9,17,55,83,59,96,72
ENSG00000116205,259,116,234,237,276,307,354,249,332,120,78,73,64,50,201,189,132,204,292
ENSG00000234204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233994,83,39,49,91,60,74,88,81,72,33,23,23,8,25,50,47,15,24,18
ENSG00000233973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000132854,64,15,37,81,278,166,36,61,38,7,18,14,14,20,124,58,290,175,116
ENSG00000227556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162607,445,326,452,367,284,389,388,390,605,206,203,150,117,133,237,229,157,250,250
ENSG00000285954,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000233333,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000154027,93,9,152,96,48,61,147,324,213,27,63,9,37,22,152,58,31,62,72
ENSG00000234108,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0
ENSG00000232676,8,6,3,5,8,2,2,5,4,4,2,2,2,4,5,1,4,2,4
ENSG00000213579,7,0,0,0,2,4,4,2,0,0,2,0,0,0,1,2,3,0,0
ENSG00000137960,15,6,35,23,17,19,32,10,84,36,12,8,20,4,20,20,15,30,29
ENSG00000237852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2
ENSG00000132855,1,12,3,0,0,8,8,6,4,2,2,0,0,2,0,2,0,2,0
ENSG00000285407,0,0,43,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270549,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000237163,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229636,3,0,1,3,1,1,2,1,0,0,0,1,4,1,0,2,1,0,2
ENSG00000116675,102,30,43,51,73,57,67,61,66,24,27,16,10,22,58,23,61,30,84
ENSG00000162433,1178,380,1580,1390,1015,1628,732,1188,1043,230,199,242,144,266,544,511,825,639,595
ENSG00000213625,1229,704,1280,1355,1422,1223,1618,1206,2254,761,525,366,386,448,972,1023,853,864,977
ENSG00000233664,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
ENSG00000158966,320,145,303,257,532,372,675,430,1005,207,121,82,138,132,407,426,185,390,519
ENSG00000213703,3,1,4,0,7,3,3,3,0,1,0,0,0,1,1,2,0,2,1
ENSG00000203965,111,85,111,60,99,102,158,114,134,47,48,26,46,51,70,51,40,60,95
ENSG00000223479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233674,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
ENSG00000153898,103,111,338,166,57,111,81,120,62,8,64,28,20,2,41,85,21,39,11
ENSG00000117069,23,28,17,15,197,18,111,8,71,22,34,2,6,19,266,16,5,21,108
ENSG00000125703,90,65,136,82,89,111,136,90,113,45,54,62,36,27,61,45,53,50,49
ENSG00000285041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234144,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230498,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000285782,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
ENSG00000162618,109,87,169,143,109,89,202,115,293,91,98,38,59,27,62,181,80,81,78
ENSG00000224493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131233,0,0,2,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0
ENSG00000272371,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287647,1,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,2,0,0
ENSG00000229225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225598,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000286455,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000230053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000137941,458,235,431,471,346,271,254,233,454,286,208,153,94,134,192,223,212,141,179
ENSG00000224326,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000286548,13,2,7,12,8,21,8,11,15,5,3,3,1,0,2,12,4,5,3
ENSG00000066135,634,278,651,597,708,792,696,698,470,112,130,154,51,81,482,399,416,387,535
ENSG00000272094,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
